ARS_K,RVI_P,MinScore,NetLot,Net Profit,Trades,PF
0.01,21,4,30,2467.0,2436,1.0627065222916985
0.02,21,4,30,2467.0,2436,1.0627065222916985
0.015,21,4,30,2467.0,2436,1.0627065222916985
0.0123,21,4,30,2467.0,2436,1.0627065222916985
0.0123,21,5,30,2372.0,1694,1.0888489343371914
0.01,21,5,30,2372.0,1694,1.0888489343371914
0.02,21,5,30,2372.0,1694,1.0888489343371914
0.015,21,5,30,2372.0,1694,1.0888489343371914
0.02,10,5,30,2301.0,1745,1.0870733368652086
0.015,10,5,30,2301.0,1745,1.0870733368652086
0.01,10,5,30,2301.0,1745,1.0870733368652086
0.0123,10,5,30,2301.0,1745,1.0870733368652086
0.01,21,3,30,2205.0,3181,1.0519373454245673
0.02,21,3,30,2205.0,3181,1.0519373454245673
0.0123,21,3,30,2205.0,3181,1.0519373454245673
0.015,21,3,30,2205.0,3181,1.0519373454245673
0.02,10,4,10,2192.0,3681,1.047618013164469
0.01,10,4,10,2192.0,3681,1.047618013164469
0.0123,10,4,10,2192.0,3681,1.047618013164469
0.015,10,4,10,2192.0,3681,1.047618013164469
0.01,10,3,30,2080.0,3158,1.048084703053841
0.015,10,3,30,2080.0,3158,1.048084703053841
0.02,10,3,30,2080.0,3158,1.048084703053841
0.0123,10,3,30,2080.0,3158,1.048084703053841
0.0123,14,5,30,2045.0,1711,1.0771348823174411
0.01,14,5,30,2045.0,1711,1.0771348823174411
0.02,14,5,30,2045.0,1711,1.0771348823174411
0.015,14,5,30,2045.0,1711,1.0771348823174411
0.015,21,4,10,1963.0,3566,1.0431494955267844
0.0123,21,4,10,1963.0,3566,1.0431494955267844
0.01,21,4,10,1963.0,3566,1.0431494955267844
0.02,21,4,10,1963.0,3566,1.0431494955267844
0.01,14,4,30,1890.0,2448,1.047361299052774
0.015,14,4,30,1890.0,2448,1.047361299052774
0.02,14,4,30,1890.0,2448,1.047361299052774
0.0123,14,4,30,1890.0,2448,1.047361299052774
0.02,21,3,20,1765.0,4528,1.037227647592331
